time,latitude,longitude,depth,mag,magType,nst,gap,dmin,rms,net,id,updated,place,type
2015-03-07T04:23:21.890Z,33.472,-116.5676667,8.73,0.43,ml,23,106,0.03668,0.11,ci,ci37111959,2015-03-07T04:27:09.545Z,"14km SE of Anza, California",earthquake
2015-03-07T04:01:12.530Z,36.6082,-97.6563,5,2.8,mb_lg,,47,0.282,0.39,us,usc000twc0,2015-03-07T04:25:45.905Z,"23km SSE of Medford, Oklahoma",earthquake
2015-03-07T03:50:11.590Z,38.8461685,-122.8271637,2.49,0.43,md,8,92,0.008987,0.05,nc,nc72406715,2015-03-07T04:37:02.469Z,"9km WNW of Cobb, California",earthquake
2015-03-07T03:28:13.160Z,35.112,-118.8181667,1.1,1.07,ml,15,114,0.01779,0.23,ci,ci37111951,2015-03-07T03:32:01.307Z,"11km S of Arvin, California",earthquake
2015-03-07T03:18:23.290Z,38.8209991,-122.8085022,3.6,0.87,md,23,74,0.002689,0.02,nc,nc72406710,2015-03-07T04:18:02.642Z,"6km NW of The Geysers, California",earthquake
2015-03-07T03:00:34.270Z,36.038,-117.7748333,1.1,0.98,ml,13,102,0.01494,0.18,ci,ci37111919,2015-03-07T03:04:26.202Z,"16km E of Coso Junction, California",earthquake
2015-03-07T02:58:36.400Z,38.8014984,-122.479332,7.96,2.01,md,7,162,0.02509,0.08,nc,nc72406700,2015-03-07T04:06:04.847Z,"6km E of Hidden Valley Lake, California",earthquake
2015-03-07T02:55:52.470Z,38.7878342,-122.7591629,5.44,0.57,md,8,93,0.01785,0.06,nc,nc72406695,2015-03-07T04:06:04.781Z,"1km NNW of The Geysers, California",earthquake
2015-03-07T02:54:31.600Z,33.4795,-116.5705,9.41,1.01,ml,34,66,0.03052,0.2,ci,ci37111911,2015-03-07T02:58:34.640Z,"13km SE of Anza, California",earthquake
2015-03-07T02:46:50.440Z,38.8206673,-122.80867,3.76,1.28,md,28,62,0.002936,0.03,nc,nc72406680,2015-03-07T04:06:04.709Z,"6km NW of The Geysers, California",earthquake
2015-03-07T02:46:45.480Z,38.8214989,-122.8081665,3.72,0.74,md,15,76,0.002409,0.01,nc,nc72406685,2015-03-07T02:48:25.050Z,"6km NW of The Geysers, California",earthquake
2015-03-07T02:09:45.510Z,35.5341682,-120.8613358,0.82,1.13,md,7,123,0.03698,0.08,nc,nc72406665,2015-03-07T03:20:02.668Z,"10km NNE of Cayucos, California",earthquake
2015-03-07T01:55:48.730Z,35.1148333,-118.8055,1.41,1.46,ml,23,77,0.02348,0.21,ci,ci37111871,2015-03-07T01:59:38.903Z,"11km S of Arvin, California",earthquake
